college,rank,UNITID,OPEID,OPEID6,CITY,STABBR,ZIP,ACCREDAGENCY,LATITUDE,LONGITUDE,REGION,CCBASIC,CONTROL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,AVGFACSAL,PCTPELL,C150_4,AGE_ENTRY,FEMALE,MARRIED,FIRST_GEN,FAMINC,MD_FAMINC,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ENDOWBEGIN
The University of Tulsa,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandeis University,120,165015,213300,2133,Waltham,MA,02454-9110,New England Commission on Higher Education,42.365727,-71.260155,1,15,2,0.334,640,720,680,790,640,710,680,735,675,31,33,31,35,27,33,8,9,32,33,30,9,1424,3481,NULL,0.4367,0.0552,0.083,0.1494,0.0011,0.0014,0.0385,0.2025,0.0322,NULL,33663,76044,NULL,13299,0.1662,0.8923,19.48419865,0.602708804,PrivacySuppressed,0.163069544,97039.16253,72611.5,69000,70327,1073525868
Trinity College - Connecticut,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union College - New York,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Iowa,123,153658,189200,1892,Iowa City,IA,52242-1316,Higher Learning Commission,41.661935,-91.536425,4,15,1,0.8428,560,650,550,660,NULL,NULL,605,605,NULL,22,29,21,30,21,28,NULL,NULL,26,26,25,NULL,1229,21909,NULL,0.7445,0.0308,0.0827,0.045,0.0016,0.0007,0.0356,0.0373,0.0218,19401,NULL,24806,NULL,11790,0.1945,0.7219,20.97282405,0.562304321,0.033312461,0.223128536,88575.42142,72993,62000,58274,1578933000
University of Utah,124,230764,367500,3675,Salt Lake City,UT,84112-9008,Northwest Commission on Colleges and Universities,40.762484,-111.846044,7,15,1,0.794,570,670,560,680,490,620,620,620,555,22,29,21,30,21,28,7,9,26,26,25,8,1236,23645,NULL,0.658,0.0143,0.1409,0.0615,0.0044,0.0043,0.0571,0.0521,0.0074,13572,NULL,20303,NULL,10820,0.2381,0.671,23.50058207,0.505529686,0.185389988,0.294409168,57205.34677,38625,63500,60590,1080567000
Wheaton College - Illinois,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Alabama - Birmingham,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona State University,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States Merchant Marine Academy,128,197027,289200,2892,Kings Point,NY,11024-1634,Middle States Commission on Higher Education,40.81357,-73.763004,0,22,1,0.2411,600,670,620,690,NULL,NULL,635,655,NULL,25,29,25,30,26,29,NULL,NULL,27,28,28,NULL,1288,1028,NULL,0.7996,0.0175,0.0477,0.0554,0.0039,0.0068,0.0574,0.0049,0.0068,6571,NULL,9565,NULL,10467,0.0814,0.8233,19.81188119,0.217821782,PrivacySuppressed,PrivacySuppressed,91881.31683,77088,98600,83209,NULL
Occidental College,129,120254,124900,1249,Los Angeles,CA,90041-3392,Western Association of Schools and Colleges Senior Colleges and University Commission,34.127124,-118.210908,8,21,2,0.409,640,730,630,730,605,690,685,680,648,28,33,30,35,26,31,NULL,NULL,31,33,29,NULL,1378,1835,NULL,0.4703,0.0371,0.1608,0.1537,0,0.0016,0.1003,0.0632,0.0131,NULL,34032,76600,NULL,11229,0.186,0.8364,19.45950704,0.584507042,PrivacySuppressed,0.175925926,104313.0123,76004,59400,67388,448094636
Florida International University,130,133951,963500,9635,Miami,FL,33199,Southern Association of Colleges and Schools Commission on Colleges,25.75732,-80.373928,5,15,1,0.5788,570,640,540,620,490,570,605,580,530,23,29,23,29,22,27,7,8,26,26,25,8,1190,41220,NULL,0.0879,0.1149,0.6776,0.0245,0.0006,0.0005,0.0202,0.0699,0.0039,5298,NULL,19384,NULL,10886,0.4766,0.6698,23.49446833,0.606936085,0.069418171,0.414037389,34024.0286,23924,52000,54501,216382258
University of Cincinnati,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Louis University,132,179159,250600,2506,Saint Louis,MO,63103-2097,Higher Learning Commission,38.636801,-90.2351,4,16,2,0.5554,580,680,580,690,NULL,NULL,630,635,NULL,25,31,25,34,24,29,NULL,NULL,28,30,27,NULL,1299,7304,NULL,0.6548,0.0571,0.0722,0.1192,0.0012,0.0004,0.0434,0.0418,0.0099,NULL,25039,61975,NULL,10304,0.1726,0.7927,21.7715415,0.624110672,0.052964427,0.223640857,101081.3123,77915.5,64900,65934,1252677869
Iowa State University,133,153603,186900,1869,Ames,IA,50011-2103,Higher Learning Commission,42.026212,-93.648504,4,15,1,0.8842,480,630,530,680,NULL,NULL,555,605,NULL,21,28,21,28,21,28,NULL,NULL,25,25,25,NULL,1197,26566,NULL,0.7659,0.0265,0.0651,0.0389,0.0015,0.0007,0.0285,0.0397,0.0331,16002,NULL,21740,NULL,11366,0.2038,0.7472,20.50455319,0.462423697,0.016611628,0.199184015,88654.33674,76488,56000,57351,1056849022
University of Mississippi,134,176017,244000,2440,University,MS,38677-1848,Southern Association of Colleges and Schools Commission on Colleges,34.365529,-89.537434,5,15,1,0.8802,510,620,500,610,NULL,NULL,565,555,NULL,22,30,22,32,20,28,NULL,NULL,26,27,24,NULL,1220,16083,NULL,0.7726,0.1247,0.0395,0.0213,0.0026,0.0006,0.0236,0.0126,0.0025,12161,NULL,25562,NULL,9377,0.2354,0.6668,21.74808184,0.608056266,0.060262148,0.235026918,76075.67647,47087,56600,48255,736287812
Auburn University,135,100858,100900,1009,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,32.599378,-85.488258,5,15,1,0.8507,590,650,570,670,520,620,620,620,570,25,31,24,33,23,29,7,8,28,29,26,8,1302,24368,NULL,0.8101,0.0465,0.0355,0.0238,0.003,0.0006,0.0264,0.0514,0.0027,24018,NULL,32196,NULL,10722,0.1343,0.787,20.51679587,0.531504671,0.022261976,0.172647119,92148.62652,72031,56300,56933,774534709
University of South Carolina,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Holyoke College,137,166939,219200,2192,South Hadley,MA,01075-1489,New England Commission on Higher Education,42.256838,-72.575511,1,21,2,0.5247,630,730,640,770,NULL,NULL,680,705,NULL,27,30,31,34,23,28,NULL,NULL,29,33,26,NULL,1367,1912,NULL,0.4414,0.0581,0.0884,0.0748,0.0005,0.001,0.0439,0.2782,0.0136,NULL,28724,69578,NULL,10865,0.1995,0.8415,20.55518946,PrivacySuppressed,0.016474465,0.189565217,83742.3229,68909,53900,52736,794203693
Worcester Polytechnic Institute,138,168421,223300,2233,Worcester,MA,01609-2280,New England Commission on Higher Education,42.274853,-71.808339,1,16,2,0.5905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4804,NULL,0.6374,0.0279,0.0916,0.0776,0.0012,0.0006,0.0327,0.0749,0.056,NULL,42835,69233,NULL,12602,0.0968,0.8899,19.45544555,0.364922207,PrivacySuppressed,0.13377193,129500.0347,114021,84600,89405,528287000
University of Oklahoma,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Olaf College,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of South Florida - Sarasota-Manatee,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denison University,142,202523,304200,3042,Granville,OH,43023,Higher Learning Commission,40.071505,-82.523272,3,21,2,0.2817,600,690,620,740,NULL,NULL,645,680,NULL,28,32,28,34,26,30,NULL,NULL,30,31,28,NULL,1350,2253,NULL,0.5988,0.0586,0.0786,0.0351,0,0.0004,0.0395,0.162,0.0271,NULL,29597,69128,NULL,9402,0.1714,0.8046,19.39082279,0.577531646,PrivacySuppressed,0.171232877,103916.8829,77800.5,57600,57435,887897630
University of Delaware,143,130943,143100,1431,Newark,DE,19716,Middle States Commission on Higher Education,39.679577,-75.752822,2,15,1,0.6599,580,660,570,670,530,640,620,620,585,25,30,24,32,23,29,8,9,28,28,26,9,1254,18618,NULL,0.6771,0.0626,0.0915,0.0529,0.0012,0.0004,0.0375,0.0503,0.0265,18967,NULL,28708,NULL,13194,0.1477,0.8249,19.69342561,0.585467128,0.006401384,0.170937108,124857.9223,107127.5,64000,67298,1466069934
University of Connecticut,144,129020,141700,1417,Storrs,CT,6269,New England Commission on Higher Education,41.809098,-72.249948,1,15,1,0.5609,580,680,590,710,550,650,630,650,600,27,32,26,34,25,31,NULL,NULL,30,30,28,NULL,1294,18658,NULL,0.5297,0.0667,0.1322,0.1166,0.0009,0.0004,0.0374,0.0988,0.0173,22974,NULL,33896,NULL,13183,0.2239,0.8303,20.32132325,0.530965508,0.016412361,0.266493293,88097.12168,67737,66000,72460,423477526
Loyola Marymount University,145,117946,1164900,11649,Los Angeles,CA,90045-2659,Western Association of Schools and Colleges Senior Colleges and University Commission,33.97085,-118.415744,8,16,2,0.5014,610,690,600,700,550,650,650,650,600,27,31,28,34,25,30,8,9,29,31,28,9,1320,6564,NULL,0.4324,0.0684,0.2275,0.0977,0.0005,0.0012,0.0728,0.0996,0,NULL,44467,70235,NULL,11796,0.1503,0.8262,20.60076881,0.599121362,0.012630423,0.22403734,106641.7749,69000,71600,68701,476198000
University of San Diego,146,122436,1039500,10395,San Diego,CA,92110-2492,Western Association of Schools and Colleges Senior Colleges and University Commission,32.770816,-117.192073,8,16,2,0.587,NULL,NULL,NULL,NULL,540,650,NULL,NULL,595,NULL,NULL,NULL,NULL,NULL,NULL,8,9,NULL,NULL,NULL,9,NULL,5454,NULL,0.4943,0.0312,0.2213,0.0735,0.0031,0.0026,0.0724,0.0706,0.031,NULL,34139,70440,NULL,12578,0.1676,0.8048,20.77654867,0.57300885,0.030973451,0.248623131,102808.6055,70085,71100,74816,545567000
American University,147,131159,143400,1434,Washington,DC,20016-8001,Middle States Commission on Higher Education,38.936005,-77.088875,2,16,2,0.3865,630,710,590,680,570,670,670,635,620,27,32,28,34,24,29,8,10,30,31,27,9,1328,7510,NULL,0.5298,0.0806,0.1241,0.0682,0.0005,0.0009,0.0454,0.117,0.0334,NULL,40088,66416,NULL,12033,0.1369,0.7911,19.73031416,0.660954712,0.006119951,0.156343443,105098.7364,84200,67700,71933,705027000
Texas Tech University,148,229115,364400,3644,Lubbock,TX,79409-5005,Southern Association of Colleges and Schools Commission on Colleges,33.583448,-101.874783,6,15,1,0.7003,540,620,530,620,470,570,580,575,520,22,27,21,26,20,26,6,8,25,24,23,7,1174,32412,NULL,0.5449,0.0621,0.2924,0.0294,0.0034,0.0008,0.0372,0.0239,0.006,16194,NULL,23191,NULL,9465,0.2545,0.6342,21.46334674,0.496752243,0.054026188,0.323794678,72431.10682,51321,61600,58435,743225078
Stevens Institute of Technology,149,186867,263900,2639,Hoboken,NJ,07030-5991,Middle States Commission on Higher Education,40.744776,-74.025334,2,16,2,0.5306,640,710,680,770,NULL,NULL,675,725,NULL,31,34,30,35,29,34,NULL,NULL,33,33,32,NULL,1415,3787,NULL,0.5854,0.023,0.1336,0.1846,0.0008,0,0,0.0264,0.0462,NULL,37211,70591,NULL,15374,0.1766,0.8772,19.31604697,0.284735812,PrivacySuppressed,0.154943935,133007.1752,117032,91900,98159,224304000
University of Dayton,150,202480,312700,3127,Dayton,OH,45469,Higher Learning Commission,39.739547,-84.176113,3,16,2,0.8111,540,640,540,660,520,610,590,600,565,23,29,22,30,22,28,NULL,NULL,26,26,25,NULL,1233,8589,NULL,0.8028,0.0441,0.0661,0.015,0.0005,0.0005,0.0328,0.0357,0.0024,NULL,29928,60900,NULL,9005,0.1327,0.8088,19.62286191,0.519816437,0.006257822,0.102412188,134620.5474,114495,61400,66384,603105000
Creighton University,151,181002,254200,2542,Omaha,NE,68178,Higher Learning Commission,41.265361,-95.947811,4,17,2,0.6402,NULL,NULL,NULL,NULL,510,620,NULL,NULL,565,NULL,NULL,NULL,NULL,NULL,NULL,8,9,NULL,NULL,NULL,9,NULL,4445,NULL,0.7233,0.0225,0.0889,0.0801,0.0022,0.0031,0.0506,0.0214,0.0079,NULL,31218,56120,NULL,9780,0.1161,0.8156,20.86,0.610714286,0.039285714,0.183839881,118447.9836,94392,70100,66524,587024000
California Polytechnic State University (Cal Poly) - San Luis Obispo,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wabash College,153,152673,184400,1844,Crawfordsville,IN,47933-0352,Higher Learning Commission,40.037588,-86.906,3,21,2,0.6321,550,650,570,670,470,600,600,620,535,22,29,20,28,23,28,7,8,26,24,26,8,1226,868,NULL,0.7592,0.0438,0.0945,0.0127,0,0,0.0392,0.0392,0.0115,NULL,22910,58770,NULL,8967,0.2768,0.748,19.56932153,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,95750.36873,88462,64000,63425,344252286
Yeshiva University,154,197708,290300,2903,New York,NY,10033-3299,Middle States Commission on Higher Education,40.850605,-73.929873,2,16,2,0.6741,590,700,550,710,540,660,645,630,600,24,31,25,34,24,30,NULL,NULL,28,30,27,NULL,1288,2619,NULL,0.7858,0.0008,0.0031,0,0,0,0.0019,0.0676,0.1409,NULL,39536,64050,NULL,12606,0.1513,0.768,19.57264957,0.516239316,PrivacySuppressed,0.143859649,101103.7231,63623,78800,64628,503954000
University of Kansas,155,155317,194800,1948,Lawrence,KS,66045,Higher Learning Commission,38.958549,-95.247567,4,15,1,0.9093,540,650,530,670,NULL,NULL,595,600,NULL,22,29,22,30,21,28,NULL,NULL,26,26,25,NULL,1227,18438,NULL,0.7022,0.0422,0.0909,0.0542,0.0042,0.0012,0.0549,0.0459,0.0041,20257,NULL,26204,NULL,10346,0.2015,0.6311,21.11034588,0.547597184,0.03902663,0.222240207,84380.18947,64240.5,59300,56386,1842170498
University of Missouri,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island School of Design,157,217493,340900,3409,Providence,RI,02903-2784,New England Commission on Higher Education,41.825935,-71.407692,1,30,2,0.2712,610,700,640,770,580,690,655,705,635,27,32,27,35,25,30,NULL,NULL,30,31,28,NULL,1361,1736,NULL,0.2638,0.0444,0.0939,0.2166,0.0012,0,0.0616,0.2984,0.0202,NULL,44979,72571,NULL,10024,0.1638,0.8874,19.88551402,0.661214953,PrivacySuppressed,0.105515588,111677.4696,81183.5,56400,58131,351131518
The University of Alabama,158,100751,105100,1051,Tuscaloosa,AL,35487-0100,Southern Association of Colleges and Schools Commission on Colleges,33.211875,-87.545978,5,15,1,0.8039,540,660,530,670,480,600,600,600,540,23,31,23,33,21,29,7,8,27,28,25,8,1262,30610,NULL,0.7695,0.1024,0.0512,0.0131,0.0033,0.0008,0.0359,0.0187,0.0051,20917,NULL,30016,NULL,10349,0.1718,0.7214,21.1377014,0.615252417,0.053705693,0.225712689,91846.74962,66733.5,51600,52751,946690144
University of Portland,159,209825,322400,3224,Portland,OR,97203-5798,Northwest Commission on Colleges and Universities,45.572724,-122.726691,8,19,2,0.7722,570,660,560,660,NULL,NULL,615,610,NULL,23,29,23,31,23,27,NULL,NULL,26,27,25,NULL,1233,3536,NULL,0.5164,0.0164,0.1397,0.1796,0.0031,0.013,0.0848,0.0235,0.0235,NULL,37029,64049,NULL,8602,0.1456,0.8407,20.02604167,0.627604167,0.015625,0.179279279,107252.3655,90442.5,62500,71543,209125000
University of Nebraska - Lincoln,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bentley University,161,164739,212400,2124,Waltham,MA,02452-4705,New England Commission on Higher Education,42.385995,-71.222839,1,18,2,0.5782,580,660,600,700,550,650,620,650,600,26,31,25,32,26,30,NULL,NULL,29,29,28,NULL,1281,4059,NULL,0.577,0.0399,0.087,0.0914,0.0012,0,0.0288,0.1454,0.0293,NULL,41334,71094,NULL,14793,0.1393,0.8957,19.81118314,0.399513776,PrivacySuppressed,0.155536771,123843.3509,106565.5,95400,107974,276503000
SUNY College of Environmental Science & Forestry,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Colorado Denver,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Furman University,164,218070,343400,3434,Greenville,SC,29613-6162,Southern Association of Colleges and Schools Commission on Colleges,34.924676,-82.440458,5,21,2,0.6525,610,700,620,700,NULL,NULL,655,660,NULL,29,32,30,35,26,30,NULL,NULL,31,33,28,NULL,1356,2341,NULL,0.7719,0.0696,0.0568,0.032,0.0026,0.0004,0.035,0.0256,0.006,NULL,32563,67299,NULL,9396,0.1239,0.8091,20.02066773,0.585055644,0.025437202,0.123778502,109524.8792,83896,59700,58343,694271736
University of Arkansas,165,106397,110800,1108,Fayetteville,AR,72701,Higher Learning Commission,36.070009,-94.176981,5,15,1,0.7767,550,640,540,640,NULL,NULL,595,590,NULL,23,29,22,31,21,27,NULL,NULL,26,27,24,NULL,1236,22624,NULL,0.7454,0.0417,0.0995,0.0271,0.0073,0.0012,0.0447,0.022,0.011,16507,NULL,23997,NULL,9951,0.1858,0.685,21.28390724,0.558819396,0.055938159,0.259961487,86258.19241,64201,52700,51702,1221935032
"Binghamton University, SUNY",166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harding University,167,107044,109700,1097,Searcy,AR,72149-5615,Higher Learning Commission,35.247386,-91.726143,5,17,2,0.5507,540,650,520,640,NULL,NULL,595,580,NULL,21,29,21,32,19,27,NULL,NULL,25,27,23,NULL,1207,3492,NULL,0.7993,0.0484,0.0392,0.012,0.0023,0.0014,0.0352,0.0593,0.0029,NULL,19456,31647,NULL,7492,0.2286,0.7152,20.98695951,0.568291009,0.06108442,0.205479452,83701.9801,71055,47000,47520,152714178
California State University - Long Beach,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Arizona,169,104179,108300,1083,Tucson,AZ,85721-0066,Higher Learning Commission,32.232672,-110.950815,6,15,1,0.8513,550,660,540,690,NULL,NULL,605,615,NULL,21,29,20,30,20,28,NULL,NULL,25,25,24,NULL,1220,34659,NULL,0.4884,0.0392,0.2877,0.0514,0.012,0.002,0.0504,0.0477,0.0212,13358,NULL,27461,NULL,10305,0.2875,0.6489,21.3087377,0.562853907,0.044080495,0.314072957,69476.75817,43043,56000,55205,1030450686
Gettysburg College,170,212674,326800,3268,Gettysburg,PA,17325,Middle States Commission on Higher Education,39.836597,-77.236792,2,21,2,0.4824,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2507,NULL,0.7363,0.0431,0.1041,0.0291,0.0028,0,0.0203,0.0411,0.0231,NULL,27936,71850,NULL,9856,0.2021,0.8444,19.34685864,0.535340314,PrivacySuppressed,0.137228261,130670.3626,107337.5,66300,65926,324181464
James Madison University,171,232423,372100,3721,Harrisonburg,VA,22807,Southern Association of Colleges and Schools Commission on Colleges,38.436311,-78.870484,5,18,1,0.8049,570,650,550,630,NULL,NULL,610,590,NULL,23,28,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,1207,19550,NULL,0.7524,0.0486,0.0727,0.0475,0.0012,0.001,0.0491,0.0119,0.0156,22562,NULL,27996,NULL,9246,0.1431,0.8228,20.1580633,0.61322532,0.01544838,0.208308953,104966.6296,92165,63300,61268,111064813
Baylor University,172,223232,354500,3545,Waco,TX,76798,Southern Association of Colleges and Schools Commission on Colleges,31.546872,-97.121041,6,16,2,0.6847,NULL,NULL,NULL,NULL,530,640,NULL,NULL,585,NULL,NULL,NULL,NULL,NULL,NULL,7,8,NULL,NULL,NULL,8,NULL,14329,NULL,0.6087,0.0527,0.1573,0.0815,0.0033,0.0013,0.0476,0.0408,0.0068,NULL,37309,65222,NULL,10536,0.1695,0.7934,20.0373643,0.603382984,0.014895229,0.17109067,104705.3694,80000,58400,60512,1322822000
Connecticut College,173,128902,137900,1379,New London,CT,06320-4196,New England Commission on Higher Education,41.379833,-72.107321,1,21,2,0.3772,650,720,660,730,NULL,NULL,685,695,NULL,30,33,30,35,27,31,NULL,NULL,32,33,29,NULL,1400,1711,NULL,0.6745,0.045,0.104,0.0392,0.0006,0,0.0409,0.0818,0.014,NULL,30977,74590,NULL,9776,0.158,0.8193,19.53346856,0.667342799,PrivacySuppressed,0.140425532,106829.8114,89003,62900,71239,313510000
Clark University,174,165334,213900,2139,Worcester,MA,01610-1477,New England Commission on Higher Education,42.249987,-71.823356,1,16,2,0.4713,580,680,570,670,NULL,NULL,630,620,NULL,27,32,26,34,23,29,NULL,NULL,30,30,26,NULL,1271,2205,NULL,0.6177,0.0481,0.0971,0.0707,0.0005,0.0005,0.0327,0.0916,0.0413,NULL,27233,58153,NULL,11307,0.2086,0.7491,19.71296296,0.656084656,PrivacySuppressed,0.162952646,94751.42328,77506,54700,54506,417571573
Point Loma Nazarene University,175,121309,126200,1262,San Diego,CA,92106-2899,Western Association of Schools and Colleges Senior Colleges and University Commission,32.718391,-117.250265,8,18,2,0.8355,560,650,540,640,510,610,605,590,560,23,28,23,30,22,27,NULL,NULL,26,27,25,NULL,1210,3209,NULL,0.5294,0.0168,0.273,0.0676,0.0034,0.0034,0.0801,0.0078,0.0184,NULL,34575,53045,NULL,10357,0.2607,0.7206,23.33159851,0.685501859,0.128624535,0.293117409,85372.52714,59409,54400,59862,61089032
